population,cycle,hamming_weight,a_sh0_r,a_sh1_r,b_sh0_r,b_sh1_r,term_sh0,term_cross01,term_cross10,term_sh1,t0_sh0,t0_sh1
0,119,0,0,0,0,0,0,0,0,0,0,0
0,120,4,1,1,0,0,0,0,0,0,1,1
0,121,6,0,0,1,1,0,0,0,0,1,1
0,122,4,1,1,0,0,0,0,0,0,0,0
0,123,2,0,0,1,1,0,0,0,0,0,0
0,124,2,1,1,0,0,0,0,0,0,0,0
0,125,8,1,1,1,1,1,1,1,1,0,0
0,126,4,0,0,1,1,0,0,0,0,1,1
0,127,4,1,1,0,0,0,0,0,0,0,0
0,128,0,0,0,0,0,0,0,0,0,0,0
0,129,0,0,0,0,0,0,0,0,0,0,0
0,130,0,0,0,0,0,0,0,0,0,0,0
0,131,0,0,0,0,0,0,0,0,0,0,0
0,132,0,0,0,0,0,0,0,0,0,0,0
0,133,4,0,0,1,1,0,0,0,0,1,1
0,134,2,0,0,0,0,0,0,0,0,0,0
0,135,10,1,1,1,1,1,1,1,1,1,1
0,136,4,1,1,0,0,0,0,0,0,0,0
0,137,2,1,1,0,0,0,0,0,0,0,0
0,138,2,0,0,1,1,0,0,0,0,0,0
0,139,4,0,0,1,1,0,0,0,0,1,1
0,140,2,0,0,0,0,0,0,0,0,0,0
0,141,10,1,1,1,1,1,1,1,1,1,1
0,142,6,0,0,1,1,0,0,0,0,1,1
0,143,10,1,1,1,1,1,1,1,1,0,0
0,144,2,1,1,0,0,0,0,0,0,0,0
0,145,2,0,0,0,0,0,0,0,0,1,1
0,146,12,1,1,1,1,1,1,1,1,1,1
0,147,2,0,0,0,0,0,0,0,0,0,0
0,148,2,0,0,1,1,0,0,0,0,0,0
0,149,2,0,0,1,1,0,0,0,0,0,0
0,150,4,0,0,1,1,0,0,0,0,1,1
0,151,6,1,1,0,0,0,0,0,0,1,1
0,152,4,0,0,1,1,0,0,0,0,0,0
0,153,10,1,1,1,1,1,1,1,1,1,1
0,154,12,1,1,1,1,1,1,1,1,1,1
0,155,6,1,1,0,0,0,0,0,0,1,1
0,156,4,0,0,0,0,0,0,0,0,1,1
0,157,2,0,0,0,0,0,0,0,0,0,0
0,158,4,0,0,1,1,0,0,0,0,1,1
0,159,6,1,1,0,0,0,0,0,0,1,1
0,160,12,1,1,1,1,1,1,1,1,1,1
0,161,12,1,1,1,1,1,1,1,1,1,1
0,162,6,1,1,0,0,0,0,0,0,1,1
0,163,6,1,1,0,0,0,0,0,0,1,1
0,164,12,1,1,1,1,1,1,1,1,1,1
0,165,4,0,0,0,0,0,0,0,0,1,1
0,166,12,1,1,1,1,1,1,1,1,1,1
0,167,12,1,1,1,1,1,1,1,1,1,1
0,168,6,1,1,0,0,0,0,0,0,1,1
0,169,4,0,0,1,1,0,0,0,0,0,0
0,170,2,1,1,0,0,0,0,0,0,0,0
0,171,4,1,1,0,0,0,0,0,0,1,1
0,172,4,0,0,1,1,0,0,0,0,0,0
0,173,10,1,1,1,1,1,1,1,1,1,1
0,174,12,1,1,1,1,1,1,1,1,1,1
0,175,4,1,1,0,0,0,0,0,0,0,0
0,176,2,0,0,0,0,0,0,0,0,1,1
0,177,2,0,0,0,0,0,0,0,0,0,0
0,178,4,1,1,0,0,0,0,0,0,1,1
0,179,4,0,0,1,1,0,0,0,0,0,0
0,180,0,0,0,0,0,0,0,0,0,0,0
0,181,0,0,0,0,0,0,0,0,0,0,0
0,182,0,0,0,0,0,0,0,0,0,0,0
0,183,0,0,0,0,0,0,0,0,0,0,0
0,184,0,0,0,0,0,0,0,0,0,0,0
0,185,2,1,1,0,0,0,0,0,0,0,0
0,186,4,1,1,0,0,0,0,0,0,1,1
0,187,6,1,1,0,0,0,0,0,0,1,1
0,188,4,0,0,0,0,0,0,0,0,1,1
0,189,4,1,1,0,0,0,0,0,0,0,0
0,190,8,1,1,1,1,1,1,1,1,0,0
0,191,4,0,0,1,1,0,0,0,0,1,1
0,192,12,1,1,1,1,1,1,1,1,1,1
0,193,6,1,1,0,0,0,0,0,0,1,1
0,194,4,0,0,0,0,0,0,0,0,1,1
0,195,6,0,0,1,1,0,0,0,0,1,1
0,196,4,0,0,1,1,0,0,0,0,0,0
0,197,2,0,0,0,0,0,0,0,0,1,1
0,198,10,1,1,1,1,1,1,1,1,0,0
0,199,4,0,0,1,1,0,0,0,0,1,1
0,200,2,0,0,0,0,0,0,0,0,0,0
0,201,0,0,0,0,0,0,0,0,0,0,0
0,202,10,1,1,1,1,1,1,1,1,1,1
0,203,6,1,1,0,0,0,0,0,0,1,1
0,204,4,0,0,0,0,0,0,0,0,1,1
0,205,6,1,1,0,0,0,0,0,0,1,1
0,206,4,0,0,0,0,0,0,0,0,1,1
0,207,2,0,0,0,0,0,0,0,0,0,0
0,208,2,1,1,0,0,0,0,0,0,0,0
0,209,8,1,1,1,1,1,1,1,1,0,0
0,210,0,0,0,0,0,0,0,0,0,0,0
0,211,2,0,0,0,0,0,0,0,0,1,1
0,212,12,1,1,1,1,1,1,1,1,1,1
0,213,10,1,1,1,1,1,1,1,1,0,0
0,214,8,1,1,1,1,1,1,1,1,0,0
0,215,2,0,0,1,1,0,0,0,0,0,0
0,216,0,0,0,0,0,0,0,0,0,0,0
0,217,4,0,0,1,1,0,0,0,0,1,1
0,218,6,1,1,0,0,0,0,0,0,1,1
0,219,4,0,0,0,0,0,0,0,0,1,1
0,220,2,0,0,0,0,0,0,0,0,0,0
0,221,4,0,0,1,1,0,0,0,0,1,1
0,222,6,0,0,1,1,0,0,0,0,1,1
0,223,4,1,1,0,0,0,0,0,0,0,0
0,224,2,0,0,0,0,0,0,0,0,1,1
0,225,6,1,1,0,0,0,0,0,0,1,1
0,226,4,0,0,0,0,0,0,0,0,1,1
0,227,4,1,1,0,0,0,0,0,0,0,0
0,228,2,1,1,0,0,0,0,0,0,0,0
0,229,2,0,0,0,0,0,0,0,0,1,1
0,230,2,0,0,0,0,0,0,0,0,0,0
0,231,0,0,0,0,0,0,0,0,0,0,0
0,232,0,0,0,0,0,0,0,0,0,0,0
0,233,0,0,0,0,0,0,0,0,0,0,0
0,234,2,0,0,1,1,0,0,0,0,0,0
0,235,2,1,1,0,0,0,0,0,0,0,0
0,236,4,0,0,1,1,0,0,0,0,1,1
0,237,12,1,1,1,1,1,1,1,1,1,1
0,238,2,0,0,0,0,0,0,0,0,0,0
0,239,0,0,0,0,0,0,0,0,0,0,0
0,240,10,1,1,1,1,1,1,1,1,1,1
0,241,4,1,1,0,0,0,0,0,0,0,0
0,242,2,0,0,1,1,0,0,0,0,0,0
0,243,4,1,1,0,0,0,0,0,0,1,1
0,244,6,1,1,0,0,0,0,0,0,1,1
0,245,10,1,1,1,1,1,1,1,1,0,0
0,246,4,0,0,1,1,0,0,0,0,1,1
0,247,4,0,0,1,1,0,0,0,0,0,0
0,248,8,1,1,1,1,1,1,1,1,0,0
0,249,0,0,0,0,0,0,0,0,0,0,0
0,250,2,1,1,0,0,0,0,0,0,0,0
0,251,8,1,1,1,1,1,1,1,1,0,0
0,252,10,1,1,1,1,1,1,1,1,1,1
0,253,2,0,0,0,0,0,0,0,0,0,0
0,254,10,1,1,1,1,1,1,1,1,1,1
0,255,6,1,1,0,0,0,0,0,0,1,1
0,256,6,1,1,0,0,0,0,0,0,1,1
0,257,4,0,0,1,1,0,0,0,0,0,0
0,258,0,0,0,0,0,0,0,0,0,0,0
0,259,4,0,0,1,1,0,0,0,0,1,1
0,260,12,1,1,1,1,1,1,1,1,1,1
0,261,6,0,0,1,1,0,0,0,0,1,1
0,262,4,1,1,0,0,0,0,0,0,0,0
0,263,4,1,1,0,0,0,0,0,0,1,1
0,264,6,0,0,1,1,0,0,0,0,1,1
0,265,6,0,0,1,1,0,0,0,0,1,1
0,266,4,1,1,0,0,0,0,0,0,0,0
0,267,2,0,0,1,1,0,0,0,0,0,0
0,268,2,1,1,0,0,0,0,0,0,0,0
0,269,4,1,1,0,0,0,0,0,0,1,1
0,270,2,0,0,0,0,0,0,0,0,0,0
0,271,2,1,1,0,0,0,0,0,0,0,0
0,272,2,0,0,1,1,0,0,0,0,0,0
0,273,0,0,0,0,0,0,0,0,0,0,0
0,274,10,1,1,1,1,1,1,1,1,1,1
0,275,6,1,1,0,0,0,0,0,0,1,1
0,276,12,1,1,1,1,1,1,1,1,1,1
0,277,6,0,0,1,1,0,0,0,0,1,1
0,278,4,0,0,0,0,0,0,0,0,1,1
0,279,6,0,0,1,1,0,0,0,0,1,1
0,280,2,0,0,0,0,0,0,0,0,0,0
0,281,2,1,1,0,0,0,0,0,0,0,0
0,282,0,0,0,0,0,0,0,0,0,0,0
0,283,0,0,0,0,0,0,0,0,0,0,0
0,284,0,0,0,0,0,0,0,0,0,0,0
0,285,0,0,0,0,0,0,0,0,0,0,0
0,286,2,0,0,0,0,0,0,0,0,1,1
0,287,4,0,0,1,1,0,0,0,0,0,0
0,288,4,0,0,1,1,0,0,0,0,1,1
0,289,4,0,0,1,1,0,0,0,0,0,0
0,290,0,0,0,0,0,0,0,0,0,0,0
0,291,2,0,0,0,0,0,0,0,0,1,1
0,292,6,1,1,0,0,0,0,0,0,1,1
0,293,10,1,1,1,1,1,1,1,1,0,0
0,294,2,1,1,0,0,0,0,0,0,0,0
0,295,4,0,0,1,1,0,0,0,0,1,1
0,296,6,0,0,1,1,0,0,0,0,1,1
0,297,4,1,1,0,0,0,0,0,0,0,0
0,298,8,1,1,1,1,1,1,1,1,0,0
0,299,0,0,0,0,0,0,0,0,0,0,0
0,300,2,1,1,0,0,0,0,0,0,0,0
0,301,4,1,1,0,0,0,0,0,0,1,1
0,302,4,0,0,0,0,0,0,0,0,1,1
0,303,6,0,0,1,1,0,0,0,0,1,1
0,304,4,1,1,0,0,0,0,0,0,0,0
0,305,4,0,0,1,1,0,0,0,0,1,1
0,306,6,0,0,1,1,0,0,0,0,1,1
0,307,6,0,0,1,1,0,0,0,0,1,1
0,308,2,0,0,0,0,0,0,0,0,0,0
0,309,0,0,0,0,0,0,0,0,0,0,0
0,310,0,0,0,0,0,0,0,0,0,0,0
0,311,10,1,1,1,1,1,1,1,1,1,1
0,312,6,0,0,1,1,0,0,0,0,1,1
0,313,6,0,0,1,1,0,0,0,0,1,1
0,314,12,1,1,1,1,1,1,1,1,1,1
0,315,12,1,1,1,1,1,1,1,1,1,1
0,316,12,1,1,1,1,1,1,1,1,1,1
0,317,4,1,1,0,0,0,0,0,0,0,0
0,318,2,0,0,1,1,0,0,0,0,0,0
0,319,10,1,1,1,1,1,1,1,1,1,1
0,320,4,0,0,1,1,0,0,0,0,0,0
0,321,0,0,0,0,0,0,0,0,0,0,0
